Time (s), Number of Contacts
0, 3649
0.300048, 10824
0.600029, 10751
0.90001, 9614
1.20006, 5382
1.50004, 7142
1.80002, 9604
2.1, 7228
2.40005, 6401
2.75003, 9140
3.05001, 6994
3.35005, 6455
3.65004, 8758
3.95002, 8025
4.25006, 5875
4.55004, 7874
4.85003, 8698
5.15001, 6652
5.45005, 6767
5.75004, 8922
6.05002, 7242
6.35006, 6274
6.65004, 8426
6.95003, 8603
7.25001, 5886
7.60005, 7178
7.90003, 8241
8.20001, 6560
8.50006, 6255
8.80004, 8196
9.10002, 7194
9.4, 6380
9.70005, 7916
10, 7834
10.3, 6515
10.6001, 6943
10.9, 7520
11.2, 7509
11.5, 7646
11.8001, 6905
12.1, 7110
12.4, 7528
12.7501, 6892
13.05, 6977
13.35, 7135
13.65, 7812
13.95, 6891
14.25, 6398
14.55, 7926
14.8501, 7509
15.15, 6438
15.45, 7854
15.75, 8149
16.05, 6172
16.35, 6869
16.65, 8126
16.9501, 6689
17.25, 7269
17.6, 7509
17.9001, 6749
18.2, 7550
18.5, 8249
18.8, 6896
19.1001, 7429
19.4, 8319
19.7, 7341
20.0001, 7149
20.3, 8110
20.6, 7046
20.9, 7132
21.2001, 7786
21.5, 7220
21.8, 7002
22.1001, 7725
22.4, 7729
22.75, 7523
23.05, 7677
23.3501, 7652
23.65, 7477
23.95, 7727
24.2501, 7323
24.55, 6931
24.85, 8159
25.15, 7430
25.4501, 6934
25.75, 7481
26.05, 7619
26.3501, 6360
26.65, 7476
26.95, 8481
27.25, 7081
27.6, 6854
27.9, 7838
28.2, 7234
28.5001, 6630
28.8, 7636
29.1, 8406
29.4, 6871
29.7, 6516
30, 8374
