Time (s), Number of Contacts
0, 432
0.300048, 1042
0.600029, 1042
0.90001, 954
1.20006, 978
1.50004, 1059
1.80002, 983
2.1, 977
2.40005, 1090
2.75003, 1015
3.05001, 1028
3.35005, 1090
3.65004, 1076
3.95002, 1044
4.25006, 1095
4.55004, 1081
4.85003, 1060
5.15001, 1076
5.45005, 1109
5.75004, 1062
6.05002, 1102
6.35006, 1147
6.65004, 1098
6.95003, 1143
7.25001, 1144
7.60005, 1127
7.90003, 1143
8.20001, 1138
8.50006, 1120
8.80004, 1159
9.10002, 1151
9.4, 1112
9.70005, 1153
10, 1185
10.3, 1120
10.6001, 1148
10.9, 1168
11.2, 1154
11.5, 1149
11.8001, 1116
12.1, 1153
12.4, 1176
12.7501, 1158
13.05, 1155
13.35, 1193
13.65, 1123
13.95, 1167
14.25, 1173
14.55, 1183
14.8501, 1157
15.15, 1177
15.45, 1157
15.75, 1181
16.05, 1178
16.35, 1203
16.65, 1184
16.9501, 1202
17.25, 1218
17.6, 1194
17.9001, 1185
18.2, 1182
18.5, 1191
18.8, 1178
19.1001, 1225
19.4, 1206
19.7, 1220
20.0001, 1208
20.3, 1189
20.6, 1210
20.9, 1225
21.2001, 1210
21.5, 1208
21.8, 1204
22.1001, 1189
22.4, 1240
22.75, 1229
23.05, 1210
23.3501, 1253
23.65, 1226
23.95, 1255
24.2501, 1247
24.55, 1236
24.85, 1208
25.15, 1237
25.4501, 1240
25.75, 1223
26.05, 1203
26.3501, 1236
26.65, 1242
26.95, 1231
27.25, 1265
27.6, 1241
27.9, 1229
28.2, 1263
28.5001, 1243
28.8, 1222
29.1, 1272
29.4, 1267
29.7, 1240
30, 1250
